№,Приоритет,Название,Предусловия,Тестовые данные,Шаги,Ожидаемый результат,Статус прохождения,Ссылка на баг-репорт,Комментарии
,Метод Create item,,,,,,,,
1,High,Добавить в магазин новую вещь c использованием всех входных параметров,,"Параметры передаются в теле запроса в JSON объекте.
1) name = Платье
2) section = Платья
3) description = Платье из новой коллекции
4) color = RED
5) size = 44
6) price = 4300
7) params = dress

 Тело запроса:
{
    ""name"":""Платье"",
    ""section"":""Платья"",
    ""description"":""Платье из новой коллекции!"",
    ""color"":""RED"",
    ""size"":44,
    ""price"":4300,
    ""params"":""dress""
}",1) Иницировать вызов сервиса методом POST с заданным телом запроса,1) Запрос успешно инициирован,Passed,,
,,,,,2) Проверить код состояния,2) HTTP status: 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create"",
    ""status"": ""ok"",
    ""result"": {
        ""id"": ""89"",
        ""name"": ""Платье"",
        ""section"": ""Платья"",
        ""description"": ""Платье из новой коллекции!"",
        ""size"": ""44"",
        ""color"": ""RED"",
        ""price"": 4300,
        ""params"": ""dress""
    }
}",Passed,,
2,High,Добавить в магазин новую вещь с использованием только обязательных параметров,,"Параметры передаются в теле запроса в JSON объекте.
1) name = Платье
2) section = Платья
3) description = Платье из новой коллекции

 Тело запроса:
{
    ""name"":""Платье"",
    ""section"":""Платья"",
    ""description"":""Платье из новой коллекции!"",

}",1) Иницировать вызов сервиса методом POST с заданным телом запроса,1) Запрос успешно инициирован,Passed,,
,,,,,2) Проверить код состояния,2) HTTP status: 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create"",
    ""status"": ""ok"",
    ""result"": {
        ""id"": ""101"",
        ""name"": ""Платье"",
        ""section"": ""Платья"",
        ""description"": ""Платье из новой коллекции!"",
        ""params"": """"
    }
}",Passed,,
3,Medium,Добавить в магазин новую вещь с использованием не всех обязательных полей,,"Параметры передаются в теле запроса в JSON объекте.
1) name = Платье
2) section = Платья


 Тело запроса:
{
    ""name"":""Платье"",
    ""section"":""Платья"",

}",1) Инициировать вызов методом POST с заданным телом запроса,1) Запрос успешно инициирован,Passed,,
,,,,,2) Проверить код состояния,2) HTTP status: 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create/"",
    ""status"": ""error"",
    ""field_error"": ""description"",
    ""error"": ""description_not_filled"",
    ""message"": ""Описание товара не заполнено!""
}",Passed,,
4,Medium,Добавить в магазин новую вещь без обязательных полей,,Параметры передаются в теле запроса в JSON объекте.,1) Инициировать вызов методом POST с заданным телом запроса,1) Запрос успешно иницирован,Passed,,
,,,,,2) Проверить код состояния,2) HTTP status 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create/"",
    ""status"": ""error"",
    ""field_error"": ""name"",
    ""error"": ""name_not_filled"",
    ""message"": ""Название товара не заполнено!""
}",Passed,,
5,Medium,Проверка валидации данных в полях,,"Параметры передаются в теле запроса в JSON объекте.
1) name = Платье
2) section = Платья
3) description = Платье из новой коллекции
4) price = testing string

 Тело запроса:
{
    ""name"":""Платье"",
    ""section"":""Платья"",
   ""description"":""Платье из новой коллекции!"",
    
    ""price"": ""testing string"",
    
}",1) Иницировать вызов методом POST с заданным телом запроса,1) Запрос успешно иницирован,Passed,Ссылка на гит,
,,,,,2) Проверить код состояния,2) HTTP status 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create/"",
    ""status"": ""error"",
    ""field_error"": ""price"",
    ""error"": ""price_not_float"",
    ""message"": ""Некорректная цена товара""
}",Failed,,
6,Medium,Проверка пустого JSON,,"Параметры передаются в теле запроса в JSON объекте.
1) name = 
2) section = 
3) description = 

 Тело запроса:
{
    ""name"":,
    ""section"":,
    ""description"":,

}",1) Иницировать вызов методом POST с заданным телом запроса,1) Запрос успешно инициирован,Passed,,
,,,,,2) Проверить код состояния,2) HTTP status 200,Passed,,
,,,,,3) Проверить тело ответа от сервера,"3) Тело ответа возвращается в формате JSON и имеет вид:
{
    ""method"": ""/items/create/"",
    ""status"": ""error"",
    ""field_error"": ""name"",
    ""error"": ""name_not_filled"",
    ""message"": ""Название товара не заполнено!""
}",Passed,,
7,Medium,Проверка некорренткного метода в запросе,,"Параметры передаются в теле запроса в JSON объекте.
1) name = Платье
2) section = Платья
3) description = Платье из новой коллекции

 Тело запроса:
{
    ""name"":""Платье"",
    ""section"":""Платья"",
    ""description"":""Платье из новой коллекции!"",

}",1) Иницировать вызов сервиса методом GET с заданным телом запроса,1) Запрос инициирован,Passed,Ссылка на гит,
,,,,,2) Проверить код состояния,2) HTTP status 405,Failed,,